,artist,genre,top.ranked.song
1,Shawn Mendes,canadian pop,Senorita
2,Anuel AA,reggaeton flow,China
3,Ariana Grande,dance pop,boyfriend
4,Ed Sheeran,pop,Beautiful People
5,Post Malone,dfw rap,Goodbyes
6,Lil Tecca,trap music,Ransom
7,Sam Smith,pop,How Do You Sleep?
8,Lil Nas X,country rap,Old Town Road - Remix
9,Billie Eilish,electropop,bad guy
10,Bad Bunny,reggaeton,Callaita
11,DJ Snake,dance pop,Loco Contigo
12,Lewis Capaldi,pop,Someone You Loved
13,Sech,panamanian pop,Otro Trago - Remix
14,Drake,canadian hip hop,Money In The Grave
15,Chris Brown,dance pop,No Guidance
16,J Balvin,latin,LA CANCION
17,Y2K,canadian hip hop,Lalala
18,Lizzo,escape room,Truth Hurts
19,MEDUZA,pop house,Piece Of Your Heart
20,Jhay Cortez,reggaeton flow,No Me Conoce - Remix
21,Lunay,latin,Soltera - Remix
22,Tones and I,australian pop,Dance Monkey
23,Ali Gatie,canadian hip hop,It's You
24,Daddy Yankee,latin,Con Calma
25,The Chainsmokers,edm,Takeaway
26,Young Thug,atl hip hop,The London
27,Katy Perry,dance pop,Never Really Over
28,Martin Garrix,big room,Summer Days
29,Jonas Brothers,boy band,Sucker
30,Lauv,dance pop,"fuck, i'm lonely"
31,Kygo,edm,Higher Love
32,Taylor Swift,dance pop,You Need To Calm Down
33,Lady Gaga,dance pop,Shallow
34,Khalid,pop,Talk
35,ROSALIA,r&b en espanol,Con Altura
36,Marshmello,brostep,One Thing Right
37,Nicky Jam,latin,Te Robare
