,Track.Name,Length.,Ranking,Artist.Name
1,Senorita,191,79,1
2,China,302,92,2
3,boyfriend,186,85,3
4,Beautiful People,198,86,4
5,Goodbyes,175,94,5
6,I Don't Care,220,84,4
7,Ransom,131,92,6
8,How Do You Sleep?,202,90,7
9,Old Town Road - Remix,157,87,8
10,Callaita,251,93,10
11,Loco Contigo,185,86,11
12,Someone You Loved,182,88,12
13,Otro Trago - Remix,288,87,13
14,Money In The Grave,205,92,14
15,No Guidance,261,82,15
16,LA CANCION,243,90,16
17,Sunflower,158,91,5
18,Lalala,161,88,17
19,Truth Hurts,173,91,18
20,Piece Of Your Heart,153,91,19
21,Panini,115,91,8
22,No Me Conoce - Remix,309,83,20
23,Soltera - Remix,266,91,21
24,bad guy,195,89,9
25,If I Can't Have You,191,70,1
26,Dance Monkey,210,83,22
27,It's You,213,89,23
28,Con Calma,193,91,24
29,QUE PRETENDES,222,89,16
30,Takeaway,210,84,25
31,7 rings,179,89,3
32,The London,200,89,26
33,Never Really Over,224,89,27
34,Summer Days,164,89,28
35,Otro Trago,226,91,13
36,Antisocial,162,87,4
37,Sucker,181,80,29
38,"fuck, i'm lonely",199,78,30
39,Higher Love,228,88,31
40,You Need To Calm Down,171,90,32
41,Shallow,216,87,33
42,Talk,198,84,34
43,Con Altura,162,88,35
44,One Thing Right,182,88,36
45,Te Robare,202,88,37
46,Happier,214,88,36
47,Call You Mine,218,88,25
48,Cross Me,206,82,4
